customer_id,first_name,last_name,email,city,signup_date
C001,Alice,Fernandez,alice.fernandez@email.com,New York,2023-01-15
C002,Bob,Chen,bob.chen@email.com,Los Angeles,2023-02-03
C003,Carol,Martinez,carol.martinez@email.com,Chicago,2023-02-18
C004,David,Kim,david.kim@email.com,Houston,2023-03-07
C005,Emma,Thompson,emma.thompson@email.com,Phoenix,2023-03-22
C006,Frank,Nguyen,frank.nguyen@email.com,Philadelphia,2023-04-10
C007,Grace,Patel,grace.patel@email.com,San Antonio,2023-04-28
C008,Henry,Robinson,henry.robinson@email.com,San Diego,2023-05-14
C009,Isabella,Davis,isabella.davis@email.com,Dallas,2023-06-01
C010,Jack,Wilson,jack.wilson@email.com,San Jose,2023-06-19
C011,Karen,Moore,karen.moore@email.com,Austin,2023-07-04
C012,Leo,Jackson,leo.jackson@email.com,Jacksonville,2023-07-21
C013,Mia,White,mia.white@email.com,Fort Worth,2023-08-09
C014,Noah,Harris,noah.harris@email.com,Columbus,2023-08-27
C015,Olivia,Martin,olivia.martin@email.com,Charlotte,2023-09-12
